review,rating
"The ear phones are very small making it very uncomfortable to be used for long hours. Outer ear pinna starts paining, the device is very small to fit and cover the full ear!",2.0 out of 5 stars
Good,3.0 out of 5 stars
"Like the description says, the bass quality is very good but the headphones do not sit comfortably on your ears. Makes it uncomfortable and there is absolutely NO noise cancellation.",3.0 out of 5 stars
"GOOD LOW BUDGET MODEL
NOT VERY IMPRESSED WITH SOUND BUT ITS NOT BAD EITHER..
CAN BUY...Nice one",3.0 out of 5 stars
Not good,1.0 out of 5 stars
ok,3.0 out of 5 stars
"Sound quality is okay for the price.
But the pads seem to be of very bad quality. It really hurts to wear for even 20 min. Recommended to search if a better one out there.",2.0 out of 5 stars
"Good product.
Rubber quality on the ear is good. But sometimes painful",3.0 out of 5 stars
Okay product but after some time pain in ears normal use not use for listening song,3.0 out of 5 stars
This headphone built quality is good. But the sound quality and bass we expect was that upto the mark. For normal used its okay.,3.0 out of 5 stars
Good product value for money writing review after using for 1 year after purchase date..only issue with this headphone is unbearable pressure on ear after 30 mins of continous use,3.0 out of 5 stars
"Nice product but minimum price value 450RS please giving best prize all was good not bad product is good base,noise cancellation,and voice",3.0 out of 5 stars
"It's stop working after 8 months without any reason. Boat is not giving warranty service saying invoice invalidated I tried two times, visited two times to service center. Totally frustrated, Amazon should take the lead and also the supplier must be black listed",1.0 out of 5 stars
"BOAT is an OK product, it's stopped working in few days time, head take it authorised service although they have promised that they will return the same, waiting to see what comes next. Not a great stuff!!",3.0 out of 5 stars
"The mic stopped working in 4 months, its an expensive product compared to its overall sound quality which is below average as compared to other brand's headphones in similar price range. I used another bluetooth headphone from this brand which were slightly better quality & lasted for 2 years. They also stopped working in 8 months but got a warranty repair from the manufacturer/service center.",2.0 out of 5 stars
"After wearing it for only 10 min, it starts paining your ears. They are not comfortable to wear for long hours.",2.0 out of 5 stars
"Do not buy if u wear specs , my ears started hurting in a bit , and also kind of messed up the frame of my glasses",3.0 out of 5 stars
Leather got torn within a year and there's no option on how to avail the warranty thing.,2.0 out of 5 stars
"This has one of the worst microphones. Great sound quality tho. so if you don't care about the mic , you should probably buy it",3.0 out of 5 stars
"When is used my headphones for talking to someone in call ,the other person in the call hear a ghrrrrrr sound continuously",3.0 out of 5 stars
"The product was for my son's online classroom sessions. However, the ear cover gets heated when used continuously for a 30 ~ 45 minute period. Hence it's being used sparingly now.",3.0 out of 5 stars
" Sound quality is best,",3.0 out of 5 stars
"Overall good, but treble sound is one star",3.0 out of 5 stars
Purchased in the month of Sep 21. Started using in month of December. But today is mid Jan 2022 and it has stopped working for reasons unknown. Is there any way that the product can be checked. Otherwise also audio quality not expected as per Boat standards.,2.0 out of 5 stars
Unless you hold the mic very close to the mouth the audio is not loud. The headphone is good.,3.0 out of 5 stars
"Average, not a great piece based on price, could be better",3.0 out of 5 stars
Packaging Was not upto the mark. Used this product for 2 week. so far performing good. for this price its an good product. will update after a while.,3.0 out of 5 stars
"Within a year it's speakers not worked.
This product is so bogus as I think this lots is bogus...",2.0 out of 5 stars
"It is not meant for hardcore music lovers, only thing your ears will feel is the heavy bass and nothing else.. I ordered it to use in WFH meetings and it is serving the purpose well",3.0 out of 5 stars
"After discounts i finally bought it for just 300 rupee dont wait because i got with a coupon available with me
Wonderfull for the price
Done side is it started paining my ears as the cups are not soft and tight
Music is decent and not extraordinary",3.0 out of 5 stars
Material used not good . Headphones costing torn in just 7 days,3.0 out of 5 stars
Everything fine except sound that exceed outer while using normal volume,3.0 out of 5 stars
NOT A GOOD MICROPHONE BUT ITS SOUND QUALITY IS AMAZING,3.0 out of 5 stars
Everything is good but wire quality is very bad 👎,1.0 out of 5 stars
"The other person is not able to hear me at times. Not really happy but had to keep it as till the time I started using it, the return date has passed.",2.0 out of 5 stars
headset plastic body is very fragile and so broke very early.,2.0 out of 5 stars
I hate the tightness on your ears,3.0 out of 5 stars
"The sound output is acceptable.
However mic is not good. Receivers complaint lot of noise.
The headphone feel tighter after 30 min so not for long use.
It just solve purpose for a while",3.0 out of 5 stars
"Sound was not working th
e voice is not listening due to wire damage",1.0 out of 5 stars
Sound is good and bass is also good but noise cancellation is not good.,3.0 out of 5 stars
Not good,1.0 out of 5 stars
"Noise cancelling is not upto the mark, ear pads are not matching well near ears .",3.0 out of 5 stars
Sooo the moment I purchased it...it worked perfectly for around 2 months but after that the sound quality detoriated and the headphone jack start shorting which made my phone restart again and again ....it was perfect in the starting but not anymore...I would recommend buying a costlier headphone like around 1-3k or if u want a cheaper one just stick with earphones....,2.0 out of 5 stars
"Built quality looks like a cheap ones sound is ok, not value for money..",2.0 out of 5 stars
"Overall Product is GOOD built quality and length of wire is very nice BUT BASS is missing...
But apart from bass the quality of sound is overall very fine but it misses background voice",3.0 out of 5 stars
Product was good but warranty was not claiming i don't know why waste of money the warranty process was not good,1.0 out of 5 stars
"headphone was working fine for 4 months, suddenly mike is not working properly front person is not able to hear voice,voice is not audible.",3.0 out of 5 stars
Tight to head .more than 1 hr will not good for you.,3.0 out of 5 stars
The sound is so nice but after use of 2 days it will cause of pain in ear so if you have number glasees in your eyes so this is not for you..,3.0 out of 5 stars
Had to keep mic near my mouth while speaking..it creates discomfort,2.0 out of 5 stars
It will not work properly on Mi phones for call. You hear other person's voice clearly on call but your vice will not reach other end.,3.0 out of 5 stars
"Sound quality is not that good but its okay. I recieved it today and by evening the sound was coming out of only one side, i moved the jack a bit and the sound was back in both(luckily). I don't know how long it will last but that made me realize that quality wise its not that good . The headphone is very flimsy and its not for rough users. It comes with 1 year warranty. Packaging is good.",2.0 out of 5 stars
"Good headphones at the price point. Even the microphone is good. It stays closer to the mouth and it does not fall back on the face.

The head bands are little tight, and over use the ear cups and head band material disintegrates. Although I was using it at home, and prolonged usage caused this issue.",3.0 out of 5 stars
Bass is good but more improvement for clarity of jhankar and other music sounds.,3.0 out of 5 stars
"pros
sound =great
bass=Excellent
mic=good
wire =lasts long

cons
u can hear all conversation of ur family even in 80% volume .
poor passive noise cancelling.(becuase it doesn't cover whole ear ,it sits on it)
comfort is is utterly disaster.
anything more than an hour ur ears get go numb & there comes headache.

if u buy this product below ₹700 . it is best anything more it's best to save that money for blutooth earphones.",3.0 out of 5 stars
"Everything is good but not excellent. One demerit is that, after using continuously for approx 6 months the leather will tearing off. The leather quality is not too good.",3.0 out of 5 stars
This is moving tight from one side and moving smooth from other side,3.0 out of 5 stars
"After rough use of 6months the sponges started to get torn off..Gives little pain to ears after a hour of usage..But value for the money.Cheap ,best,beuatiful in looks but little uncomfortable .",3.0 out of 5 stars
Ear pinna start paining after 1 hr that's the only problem,3.0 out of 5 stars
It was ok AND Bass is decent 👍 and comfort wise ok ok 👍 🆗,3.0 out of 5 stars
"I didn't liked its bass, its bass is very overpowering and as a result I cannot hear vocals and instruments clearly, and also it has loose hinge problem that's why I had to return this product.",2.0 out of 5 stars
" I'm using this for my PC.
Sound quality is not good at all.At starting months,it seemed awesome to me.
After a use of 6 months...
When the noise is full,it could be heard upto 2 meters,and person sitting next almost gets disturbed.
I didn't expected this from boAt.
The hardware(Body) is good as expected and good ear cushions.
It has average noise cancellation too.",3.0 out of 5 stars
"Cable is high quality, sound is fine. Leather is not good, it get too hot if wear for 30 mins.. overall quality is just ok.. voice is clear ..",3.0 out of 5 stars
"It's worth buying, but it's over ear headphone, so make sure you are using it for a short time(< 1 hr) orelse you will feel pain, primary otalgia on your heart. Sounds are clear and crisp.",3.0 out of 5 stars
"Sound quality great
Microphone - need to press to talk.",3.0 out of 5 stars
Good,3.0 out of 5 stars
In line mic needs to be improved. Can't use this for meetings/calls as the other person won't be able to hear you.,3.0 out of 5 stars
Bad product,1.0 out of 5 stars
