review,rating
Using these headphones since last 4 months. Very Good Quality Headphones and offers a great bass considering the price range.,5.0 out of 5 stars
Really uncomfortable and it hurt when you use it for more then a minute.,1.0 out of 5 stars
I m us,4.0 out of 5 stars
No complain regarding the product. Everything is good considering the price.But having a bigger ear cup would be nice.,4.0 out of 5 stars
You may experience little uncomfortable after long use over the ears.,4.0 out of 5 stars
"Bought it in Amazon Navratri sale at 699! This is the best thing in this price range. A Budget headphone like this should have two quality, sound and comfort, and it has both of them. Looks good too!! One thing, a wider over the head band would look even more beautiful but anyways, it does the job.
Note: Buy only from trusted seller like Appario or cloudtail.",4.0 out of 5 stars
Noise cancellation is the only worst part.other wise all things are fine.,5.0 out of 5 stars
Not bad 599,4.0 out of 5 stars
Nice one....no noise cancellation got it at 599 in offer. Good for calls not for music,4.0 out of 5 stars
good to use but it cause ear pain.,3.0 out of 5 stars
"This is my first day of using boat headset.
Bass:10/10
Noice cancellation:3/10
Sound quality:10/10
Overall:8/10",4.0 out of 5 stars
They were too small in size so I returned them😬,1.0 out of 5 stars
Good as per price.,4.0 out of 5 stars
"Best product of boat.When it is 'bout boat then there is nothing to elucidate 'bout it's sound quality nd bass,,however this product is my apple of eye down to it's light weight",5.0 out of 5 stars
"It is a good product. The sound quality is fine but it doesn't have that extra bass as mentioned by them. But it sure does have decent sound quality.
But there are no details available on warranty policy",4.0 out of 5 stars
"Voice was low and not audible, speaker were okish",2.0 out of 5 stars
"boAt bassheads (black, wired, with in-line mic)
Delivery : 10/10
Product : 9.5/10
The only 0.5 I took was because : i would like to say if you're going to use it for a long time period, maybe go for something else. OnLY I found it a bit tempting to wear for more than 2 hours.
Else everything is perfect cuz it's boat, come on :) this price range, this is the most gorgeous headphones I've ever had!
I totally recommend this.",5.0 out of 5 stars
"Headphone is good, not fitting properly to ear. After few minutes getting Ear pain due to headphone is covering ear skin and gets pain. Sound quality average.
Bass quality and sound not extraordinary and not worst also. My biggest problem is headphone is pressing ear skin and getting pain",3.0 out of 5 stars
Not sure abou cable. So far good.,3.0 out of 5 stars
"The product is really good. Great Audio quality, good bass are some its pros. The noise cancellation, however, is not that good.

However, there are two things that I didn't like about this one. The first is that It is a bit tight out of the box (as most of the reviews tell) and it starts hurting your ears after long usage.
The Second is that the extension part, when extended, is sharp and if you are one of those who tend to put their headphones around their neck when not using, believe me, the sharp edges WILL CAUSE IRRITATION.

Other than that, this is a great deal and you should definitely go for it if the cons aren't big for you.",4.0 out of 5 stars
Very nice quality it's awesome product sound amazing.😊 I'm happy with this product.,4.0 out of 5 stars
been using this headphones for daily calls. Good build and quality. No on/off mic button on the wire.,5.0 out of 5 stars
It's really nice for simple music listening and online class for kids.,4.0 out of 5 stars
"Did not expect this to go bad so soon, bought this in January 2022 and already lost sound in one ear cup. Trying to claim warranty",2.0 out of 5 stars
I recommend to buy but if your ears are big so it can be small for but for kids it's perfect,4.0 out of 5 stars
I can't put them on freely... I think this is a drawback....good sound quality.,4.0 out of 5 stars
I didn't face any problem . The sound was good and it was correct for my head size .,4.0 out of 5 stars
Go for it if you want buy best bass wired head phones,4.0 out of 5 stars
GOOD PRODUCT,4.0 out of 5 stars
